lat,lon,lprice,Size,Rooms,Toilets,Suites,Condo,Parking,Elevator,Furnished,Swimming.Pool
-23.670116,-46.696669,14.18707411,266,4,5,5,1300,4,2,1,2
-23.670116,-46.696669,14.11561515,266,4,5,5,2443,4,2,1,2
-23.670116,-46.696669,14.34023909,266,4,5,5,1800,4,2,2,1
-23.670116,-46.696669,14.5574479,266,4,5,5,2443,4,2,1,2
-23.670116,-46.696669,14.64754974,266,4,5,5,1900,4,2,2,2
-23.670116,-46.696669,14.48333993,266,4,5,5,1850,4,2,1,1
-23.670116,-46.696669,14.56928236,266,4,5,5,1850,4,1,1,1
-23.670028,-46.686507,12.80765263,55,2,2,1,400,1,2,1,1
-23.6698055,-46.6879129,13.07527177,92,3,2,1,900,2,1,1,2
-23.669777,-46.688954,12.8967167,61,2,2,1,451,1,2,1,2
-23.6697617,-46.6899253,13.40754232,82,3,2,1,790,2,1,2,1
-23.6694524,-46.6918605,13.36765973,81,3,2,1,650,2,1,1,1
-23.669397,-46.768343,12.15477935,49,2,2,1,190,1,1,1,1
-23.6693357,-46.6623532,12.80765263,64,2,1,0,650,1,1,1,1
-23.6693357,-46.6623532,12.3883942,64,2,1,0,600,1,1,1,1
-23.6692394,-46.6902792,13.14079055,81,3,2,1,500,1,1,1,2
-23.669143,-46.722027,12.70684793,63,2,2,1,330,1,1,1,1
-23.669068,-46.769183,12.4874851,57,2,2,1,330,1,1,1,1
-23.668932,-46.769123,12.15477935,49,2,2,1,190,1,2,1,1
-23.668748,-46.673438,12.60819885,68,3,2,1,750,1,1,1,2
-23.668748,-46.673438,12.5776362,65,3,2,1,590,1,2,1,1
-23.668748,-46.673438,12.70684793,65,3,2,1,390,1,2,1,2
-23.668748,-46.673438,12.67607627,65,3,2,1,380,1,2,1,2
-23.668748,-46.673438,12.64432758,65,3,2,1,450,1,2,1,2
-23.668748,-46.673438,12.64432758,65,2,2,1,450,1,2,1,2
-23.668748,-46.673438,12.5776362,50,2,2,1,500,1,1,1,1
-23.668549,-46.689447,13.18063229,61,2,2,1,451,1,2,1,2
-23.668461,-46.768971,12.01370075,52,2,2,1,218,1,1,1,1
-23.668236,-46.660584,12.64432758,70,2,2,1,411,2,2,1,1
-23.668123,-46.6605649,12.42520818,50,2,1,0,434,1,1,1,1
-23.667962,-46.673428,12.54254488,55,2,2,1,500,1,1,1,2
-23.667752,-46.660689,12.64432758,61,2,2,1,420,1,1,1,2
-23.6677334,-46.6606826,12.6791964,60,2,1,0,500,1,1,1,2
-23.667546,-46.676765,12.87390202,67,3,2,1,550,1,2,1,2
-23.6672992,-46.6729106,12.64109656,70,3,1,0,560,1,1,1,2
-23.667299,-46.67291,12.70684793,64,3,2,1,498,1,2,2,2
-23.666937,-46.668331,12.52088339,60,2,1,0,500,1,2,1,1
-23.6668481,-46.6742544,12.58450908,49,2,1,0,380,1,1,1,1
-23.666848,-46.674254,12.62148808,48,2,2,1,400,1,2,1,1
-23.6666429,-46.672307,12.59811473,70,3,1,0,560,1,1,1,2
-23.6666429,-46.672307,12.62806706,63,3,1,0,670,1,1,1,2
-23.666599,-46.694951,14.28238429,233,4,5,5,1900,4,2,1,2
-23.6665408,-46.6904932,12.88664104,62,3,1,0,540,1,1,1,1
-23.66654,-46.690493,12.70684793,60,3,2,1,360,1,2,1,1
-23.666509,-46.690356,12.67607627,52,2,2,1,480,1,2,1,2
-23.6663858,-46.6814288,13.01700286,72,3,2,1,615,1,1,1,2
-23.6661671,-46.6600748,12.42520818,54,2,1,0,440,1,1,1,1
-23.6661143,-46.6601838,12.64432758,60,2,1,0,528,1,1,1,1
-23.6661143,-46.6601838,12.70381303,64,2,1,0,525,1,1,1,1
-23.6661143,-46.6601838,12.70684793,58,2,1,0,525,1,1,1,1
-23.6661143,-46.6601838,12.54254488,59,2,1,0,400,1,1,1,1
-23.6661143,-46.6601838,12.5776362,58,2,1,0,510,1,1,1,1
-23.6661143,-46.6601838,12.52452638,60,2,1,0,528,1,1,1,1
-23.666114,-46.660183,12.52452638,60,2,2,1,528,1,2,1,1
-23.666114,-46.660183,12.59473064,60,2,2,1,529,1,2,1,1
-23.666114,-46.660183,12.52452638,59,2,2,1,529,1,2,1,1
-23.666114,-46.660183,12.66032792,60,2,2,1,528,1,2,1,1
-23.666114,-46.660183,12.70381303,58,2,2,1,525,1,1,1,1
-23.6660836,-46.6755075,12.84792653,62,3,2,1,460,1,1,1,1
-23.665879,-46.675475,12.76568843,69,3,2,1,530,1,2,1,2
-23.665879,-46.675475,12.61153775,62,2,2,1,430,1,2,1,2
-23.665631,-46.679157,13.10216067,60,2,2,1,630,2,1,1,2
-23.665631,-46.679157,13.142166,77,2,2,1,750,2,1,1,2
-23.6654438,-46.6591798,12.79385931,74,3,1,0,639,1,1,1,2
-23.6654438,-46.6591798,12.79385931,75,3,1,0,740,2,1,1,2
-23.665312,-46.678169,12.53177279,64,2,2,1,629,1,2,1,2
-23.664877,-46.7072366,13.26905776,80,2,3,2,610,1,1,1,2
-23.664205,-46.694588,12.97154049,63,2,2,1,581,1,1,1,1
-23.664146,-46.691286,13.65299163,107,2,3,2,829,2,1,2,2
-23.6638806,-46.6845065,13.45883561,96,3,2,1,750,2,1,1,1
-23.6635889,-46.6821916,12.79939949,70,3,2,1,650,2,1,1,2
-23.6635889,-46.6821916,12.84792653,68,3,2,1,700,2,1,1,1
-23.6635889,-46.6821916,12.89921983,78,2,1,0,500,1,1,1,2
-23.6635889,-46.6821916,12.7512997,74,2,1,0,550,2,1,1,1
-23.663533,-46.688807,13.18063229,87,3,3,1,590,1,2,1,2
-23.663017,-46.6927026,12.76568843,62,2,1,0,652,1,1,1,1
-23.662795,-46.6644371,12.88664104,64,2,1,0,65,1,1,1,1
-23.662586,-46.664621,12.53896706,65,2,2,1,835,1,2,1,2
-23.662295,-46.664347,13.01700286,66,3,2,1,580,2,2,1,2
-23.662295,-46.664347,13.03898177,66,3,2,1,700,2,2,1,2
-23.662071,-46.751635,12.52452638,60,3,2,1,201,1,1,1,1
-23.6620499,-46.659075,12.82125828,81,2,3,2,875,2,2,1,2
-23.6619407,-46.7636664,12.56024446,50,2,1,0,500,1,1,1,2
-23.6618571,-46.6795599,12.76568843,75,2,2,0,570,2,1,1,1
-23.661669,-46.684751,13.05408454,74,3,3,1,500,2,2,1,2
-23.661669,-46.684751,12.9360338,78,3,2,1,570,1,2,1,1
-23.661552,-46.749644,12.34583459,48,2,2,1,200,1,1,1,1
-23.6613989,-46.6852234,12.95984445,75,3,2,1,740,1,1,1,1
-23.66119,-46.706288,12.69434586,53,2,2,1,380,1,2,1,2
-23.660846,-46.686396,12.7367009,50,2,2,1,395,1,1,1,1
-23.660846,-46.686396,13.00582956,74,3,2,1,1000,2,1,1,2
-23.660846,-46.686396,12.97154049,75,3,2,1,750,2,2,1,2
-23.660846,-46.686396,12.99453001,75,3,2,1,880,1,2,1,2
-23.660846,-46.686396,12.76568843,50,2,2,1,450,1,2,1,2
-23.660846,-46.686396,12.79385931,50,2,2,1,500,1,2,1,2
-23.660846,-46.686396,12.7367009,50,2,2,1,440,1,2,1,2
-23.660846,-46.686396,13.01700286,75,3,2,1,750,1,2,1,2
-23.660846,-46.686396,12.7628272,69,2,2,1,750,1,1,1,2
-23.660846,-46.686396,12.92391244,68,2,2,1,750,1,2,1,2
-23.660765,-46.706892,13.10216067,65,2,2,1,430,1,2,2,2
-23.660743,-46.686148,13.0280527,76,3,2,1,1000,1,2,1,2
-23.660743,-46.686148,12.97154049,75,3,2,1,734,2,1,1,2
-23.660743,-46.686148,12.95984445,64,3,2,1,720,2,2,1,2
-23.660743,-46.686148,13.01477817,75,3,2,1,518,1,1,1,1
-23.660669,-46.6902359,13.21585372,78,3,2,1,750,2,2,1,2
-23.66063,-46.768167,12.36734079,35,1,2,1,330,1,2,1,2
-23.66063,-46.768167,12.52452638,68,3,2,1,500,1,2,1,1
-23.66063,-46.768167,12.67607627,47,2,2,1,480,1,1,1,1
-23.6605957,-46.6674919,13.39999511,107,3,2,1,450,2,1,1,1
-23.6605957,-46.6674919,13.44444688,106,3,2,1,450,2,2,1,1
-23.6605957,-46.6674919,13.44444688,107,3,2,1,450,2,1,1,1
-23.6605957,-46.6674919,13.43717412,107,3,2,1,450,2,1,1,1
-23.6605957,-46.6674919,13.39999511,101,3,2,1,450,2,2,1,1
-23.660558,-46.686034,13.09190417,80,3,2,1,658,2,2,1,2
-23.660558,-46.686034,13.08154138,74,3,2,1,851,1,2,1,2
-23.6598795,-46.6396411,12.76568843,68,2,1,0,554,1,1,1,1
-23.6595428,-46.6659444,12.14062705,31,1,1,0,190,0,1,1,1
-23.6593719,-46.6659119,12.88664104,64,2,2,1,570,1,2,1,2
-23.6590631,-46.6955099,13.10216067,76,2,2,1,850,1,1,1,2
-23.658995,-46.738766,12.5776362,73,3,2,1,499,1,2,1,1
-23.658995,-46.738766,12.61153775,70,3,2,1,410,1,1,1,1
-23.6585731,-46.6766021,13.03898177,82,3,2,1,946,1,1,1,1
-23.6585473,-46.6764706,12.94800999,80,3,3,1,950,1,1,1,2
-23.6581044,-46.6905018,13.11231304,64,3,2,1,540,2,1,1,1
-23.6580754,-46.666995,12.99453001,70,3,2,1,736,2,2,1,1
-23.6580671,-46.6506936,12.54254488,52,2,1,0,505,1,1,1,2
-23.6578806,-46.6716273,13.50762578,104,3,2,1,1386,3,1,1,2
-23.6578133,-46.6686479,13.01700286,62,2,1,0,1057,2,1,1,2
-23.6576884,-46.6127788,12.26434155,52,2,1,0,430,1,2,1,1
-23.6573936,-46.6677377,12.04296531,31,1,2,1,190,1,1,1,1
-23.6572867,-46.6473897,12.4292162,78,3,1,0,690,1,1,1,1
-23.657213,-46.699025,13.42984808,87,3,3,1,1100,2,2,1,2
-23.6564322,-46.6497389,12.60819885,53,2,1,0,580,1,1,1,1
-23.656399,-46.742777,12.67607627,65,3,2,1,350,1,1,1,2
-23.6562911,-46.6913932,13.99783211,130,4,4,3,1400,2,1,1,2
-23.65605,-46.742752,12.40081672,58,2,2,1,350,1,1,1,1
-23.656047,-46.742762,12.3883942,58,2,2,1,350,1,2,1,1
-23.655954,-46.742586,12.4292162,57,2,2,1,300,1,1,2,2
-23.655931,-46.742671,12.4292162,58,2,2,1,300,1,1,1,1
-23.655833,-46.747183,12.20607265,52,2,2,1,350,1,2,1,1
-23.6558,-46.689602,13.98946387,177,3,3,1,1495,2,1,1,2
-23.655489,-46.668952,12.99453001,70,2,2,1,500,1,1,1,2
-23.655485,-46.607656,12.03765399,41,2,2,1,200,1,2,1,1
-23.655192,-46.7473,12.34583459,62,2,2,1,399,1,1,1,1
-23.655118,-46.742068,12.27839331,52,2,2,1,277,1,1,1,1
-23.655035,-46.7424,12.34583459,54,2,2,1,320,1,1,1,1
-23.655035,-46.7424,12.34147728,54,2,2,1,310,1,1,1,1
-23.655035,-46.7424,12.30138283,54,2,2,1,330,1,1,1,1
-23.655035,-46.7424,12.42118403,55,2,2,1,270,1,1,1,1
-23.655035,-46.7424,12.41714362,55,2,2,1,260,1,1,1,1
